## Ideogram.js gene cache for Homo sapiens
## Derived from https://ftp.ensembl.org/pub/release-102/gff3/homo_sapiens/Homo_sapiens.GRCh38.102.gff3.gz
## prefix: ENSG
# chr	start	length	slim_id	symbol	description
13	97437268	362	276704	AL442067.2	novel transcript%2C sense intronic to RAP2A
13	97675011	2952	226134	AL359502.1	novel transcript
13	97725172	5167	286544	AL359502.2	novel transcript
13	97939356	14183	270725	AL356580.1	novel transcript
13	97953658	70638	65150	IPO5	importin 5
13	98142562	312614	152767	FARP1	FERM%2C ARH/RhoGEF and pleckstrin domain protein 1
13	98175785	1484	139797	RNF113B	ring finger protein 113B
13	98203835	357	222969	RN7SKP8	RN7SK pseudogene 8
13	98208524	76	263399	MIR3170	microRNA 3170
13	98233650	1050	269189	AL445223.1	novel transcript%2C sense intronic to FARP1
13	98329655	3581	269599	AL161896.1	novel transcript%2C antisense to FARP1
13	98435405	435	231194	FARP1-AS1	FARP1 antisense RNA 1
13	98445185	132755	102572	STK24	serine/threonine kinase 24
13	98577244	1586	224418	STK24-AS1	STK24 antisense RNA 1
13	98671980	298	243366	RN7SL60P	RNA%2C 7SL%2C cytoplasmic 60%2C pseudogene
13	98683801	68871	88386	SLC15A1	solute carrier family 15 member 1
13	98793429	293196	88387	DOCK9	dedicator of cytokinesis 9
13	98832084	2545	229918	DOCK9-AS1	DOCK9 antisense RNA 1
13	99025234	111	207298	RNU6-83P	RNA%2C U6 small nuclear 83%2C pseudogene
13	99087819	806	260992	DOCK9-DT	DOCK9 divergent transcript
13	99181223	19534	228889	UBAC2-AS1	UBAC2 antisense RNA 1
13	99200774	185730	134882	UBAC2	UBA domain containing 2
13	99205708	298	201793	RN7SKP9	RN7SK pseudogene 9
13	99254714	7030	125245	GPR18	G protein-coupled receptor 18
13	99294539	12860	169508	GPR183	G protein-coupled receptor 183
13	99356131	97	207719	MIR623	microRNA 623
13	99429211	3491	285448	AL136961.1	novel transcript
13	99446311	117737	125304	TM9SF2	transmembrane 9 superfamily member 2
13	99486962	12344	280734	LINC01232	long intergenic non-protein coding RNA 1232
13	99498737	2513	280710	AL139035.1	novel transcript
13	99499727	1325	203441	LINC00449	long intergenic non-protein coding RNA 449
13	99577112	3256	234168	LINC01039	long intergenic non-protein coding RNA 1039
13	99584014	6494	287746	AL139035.2	novel transcript
13	99606669	290465	125246	CLYBL	citramalyl-CoA lyase
13	99643059	90	263615	MIR4306	microRNA 4306
13	99690081	890	227659	CLYBL-AS2	CLYBL antisense RNA 2
13	99726245	2726	234303	CLYBL-AS1	CLYBL antisense RNA 1
13	99783857	126	201245	AL137139.1	
13	99835813	5437	288581	AL137139.3	novel transcript%2C antisense to CLYBL
13	99841879	115288	286757	AL137139.2	novel transcript%2C antisense to CLYBL
13	99962964	8945	139800	ZIC5	Zic family member 5
13	99973526	6508	288060	AL355338.1	novel transcript
13	99981784	4981	43355	ZIC2	Zic family member 2
13	99994899	3010	260738	LINC00554	long intergenic non-protein coding RNA 554
13	100053074	35876	274605	PCCA-DT	PCCA divergent transcript
13	100089015	441422	175198	PCCA	propionyl-CoA carboxylase subunit alpha
13	100338982	25977	287330	AL353697.1	novel transcript%2C antisense to PCCA
13	100464440	16765	234650	PCCA-AS1	PCCA antisense RNA 1
13	100530164	59364	134864	GGACT	gamma-glutamylamine cyclotransferase
13	100535741	51405	224356	AL356966.1	novel transcript
13	100537365	2202	280169	AL136526.1	novel transcript%2C antisense to GGACT
13	100603625	71468	125247	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4
13	100708325	350961	233009	NALCN-AS1	NALCN antisense RNA 1
13	100934023	10530	229599	LINC00411	long intergenic non-protein coding RNA 411
13	101053776	362732	102452	NALCN	sodium leak channel%2C non-selective
13	101452593	268263	198542	ITGBL1	integrin subunit beta like 1
13	101710804	691653	102466	FGF14	fibroblast growth factor 14
13	101717564	5542	276012	AL160153.1	novel transcript%2C antisense to FGF14
13	101778884	164	201155	RNU1-24P	RNA%2C U1 small nuclear 24%2C pseudogene
13	101967642	104	265164	MIR2681	microRNA 2681
13	102016953	116	201690	RNY1P2	RNY1 pseudogene 2
13	102045934	70	264482	MIR4705	microRNA 4705
13	102292327	102192	243319	FGF14-IT1	FGF14 intronic transcript 1
13	102367539	6127	234445	FGF14-AS1	FGF14 antisense RNA 1
13	102394630	1073	272143	FGF14-AS2	FGF14 antisense RNA 2
13	102589372	441	261057	LINC00555	long intergenic non-protein coding RNA 555
13	102593338	535	276957	AL158063.1	novel transcript
13	102596986	82972	134900	TPP2	tripeptidyl peptidase 2
13	102685744	8760	139780	METTL21C	methyltransferase like 21C
13	102729367	29705	175820	CCDC168	coiled-coil domain containing 168
13	102742990	2234	231633	LINC00283	long intergenic non-protein coding RNA 283
13	102760023	6630	286312	AL157769.1	novel transcript%2C antisense to TEX30
13	102765888	7923	151287	TEX30	testis expressed 30
13	102784281	14695	134901	POGLUT2	protein O-glucosyltransferase 2
13	102799110	76884	270181	BIVM-ERCC5	BIVM-ERCC5 readthrough
13	102799119	42414	134897	BIVM	basic%2C immunoglobulin-like variable motif containing
13	102845831	30164	134899	ERCC5	ERCC excision repair 5%2C endonuclease
13	102888858	976	272542	AL137246.1	novel transcript
13	102903339	661	278445	AL137246.2	novel transcript
13	103043998	22419	125255	SLC10A2	solute carrier family 10 member 2
13	103343660	52790	285789	AL162717.1	novel transcript
13	103420825	7473	234551	LINC01309	long intergenic non-protein coding RNA 1309
13	104125930	8327	287734	AL136524.1	novel transcript
13	105410816	3408	286929	AL138954.1	novel transcript
13	105459055	46626	232307	DAOA-AS1	DAOA antisense RNA 1
13	105459815	200	275968	AL359751.2	
13	105462302	203	275502	AL359751.1	
13	105465867	25167	182346	DAOA	D-amino acid oxidase activator
13	105690429	12260	280455	AL359745.1	novel transcript
13	105702699	94840	226620	LINC00343	long intergenic non-protein coding RNA 343
13	105897523	120	252550	AL138701.1	
13	105950292	113777	287923	AL138701.2	novel transcript
13	106232131	138951	286780	AL139379.1	novel transcript
13	106374477	9838	233532	LINC00460	long intergenic non-protein coding RNA 460
13	106489745	45917	125266	EFNB2	ephrin B2
13	106491147	30483	284966	AL138689.2	novel transcript%2C antisense to EFNB2
13	106506046	667	274204	AL138689.1	novel transcript%2C sense intronic to EFNB2
13	106541673	26464	134884	ARGLU1	arginine and glutamate rich 1
13	106568261	148418	272274	LINC00551	long intergenic non-protein coding RNA 551
13	106653897	18280	230156	LINC00443	long intergenic non-protein coding RNA 443
13	106753247	3818	287546	AL163534.1	novel transcript
13	106773623	656	278698	AL162574.2	novel transcript
13	106903150	949	277863	AL162574.1	novel transcript
13	106955689	5703	285643	AL354741.1	novel transcript
13	107163510	703986	204442	FAM155A	family with sequence similarity 155 member A
13	107320895	68	201847	SNORD31B	small nucleolar RNA%2C C/D box 31B
13	107465984	690	276740	AL445649.1	novel transcript%2C sense intronic to FAM155A
13	107531171	77	221650	MIR1267	microRNA 1267
13	107788342	47109	227248	FAM155A-IT1	FAM155A intronic transcript 1
13	107868823	64680	286343	AL359436.1	novel transcript
13	107870383	2989	274718	AL136964.1	novel transcript
13	108207439	10929	174405	LIG4	DNA ligase 4
13	108218392	15851	139826	ABHD13	abhydrolase domain containing 13
13	108251240	57244	102524	TNFSF13B	TNF superfamily member 13b
13	108267320	414	277246	AL157762.1	novel transcript%2C sense intronic to TNFSF13B
13	108335354	112962	283384	AL138694.1	novel transcript
13	108596152	611853	41515	MYO16	myosin XVI
13	109101261	658	229938	MYO16-AS2	MYO16 antisense RNA 2
13	109163902	37581	236242	MYO16-AS1	MYO16 antisense RNA 1
13	109269634	8878	275216	AL161431.1	novel transcript
13	109281973	15717	223617	LINC00370	long intergenic non-protein coding RNA 370
13	109310135	1638	236053	LINC01067	long intergenic non-protein coding RNA 1067
13	109400696	945	229792	LINC00399	long intergenic non-protein coding RNA 399
13	109478739	252961	285534	AL163541.1	novel transcript
13	109728282	1725	234854	LINC00676	long intergenic non-protein coding RNA 676
13	109752695	33888	185950	IRS2	insulin receptor substrate 2
13	109785831	22421	275741	AL162497.1	novel transcript%2C antisense to IRS2
13	109805317	551	275248	AL355810.1	novel transcript
13	109915096	324	201161	RN7SKP10	RN7SK pseudogene 10
13	109984858	1707	274331	AL355974.1	novel transcript
13	109988097	141039	275830	AL390755.1	novel transcript
13	110031101	466	276269	AL355974.2	novel transcript
13	110053285	1667	231428	LINC00396	long intergenic non-protein coding RNA 396
13	110097851	300	265885	RN7SL783P	RNA%2C 7SL%2C cytoplasmic 783%2C pseudogene
13	110132003	4903	287575	AL390755.3	novel transcript
13	110148963	158194	187498	COL4A1	collagen type IV alpha 1 chain
13	110305812	207397	134871	COL4A2	collagen type IV alpha 2 chain
13	110340958	71	276765	MIR8073	microRNA 8073
13	110456396	6891	224821	COL4A2-AS2	COL4A2 antisense 2
13	110502575	5604	232814	COL4A2-AS1	COL4A2 antisense RNA 1
13	110523066	38656	139832	RAB20	RAB20%2C member RAS oncogene family
13	110613082	3271	275880	AL139385.1	novel transcript%2C antisense to CARKD
13	110615460	24533	213995	NAXD	NAD(P)HX dehydratase
13	110641412	72191	134905	CARS2	cysteinyl-tRNA synthetase 2%2C mitochondrial
13	110712736	10603	153487	ING1	inhibitor of growth family member 1
13	110809676	3408	259831	LINC00567	long intergenic non-protein coding RNA 567
13	110863987	6264	255874	PRECSIT	p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript
13	110878540	36529	88448	ANKRD10	ankyrin repeat domain 10
13	110894639	4533	229152	ANKRD10-IT1	ANKRD10 intronic transcript 1
13	110916004	1823	277767	AL442128.2	novel transcript
13	111095838	7259	225870	LINC00368	long intergenic non-protein coding RNA 368
13	111096586	17111	286824	AL353704.2	novel transcript
13	111113812	1866	235875	ARHGEF7-AS2	ARHGEF7 antisense RNA 2
13	111114559	191178	102606	ARHGEF7	Rho guanine nucleotide exchange factor 7
13	111122652	21612	233644	ARHGEF7-IT1	ARHGEF7 intronic transcript 1
13	111144305	428	227352	ARHGEF7-AS1	ARHGEF7 antisense RNA 1
13	111148196	4975	285856	AL353704.1	novel transcript%2C antisense to ARHGEF7
13	111316184	28065	153495	TEX29	testis expressed 29
13	111588201	84407	204398	AL359649.1	novel transcript
13	111596009	46070	215881	LINC02337	long intergenic non-protein coding RNA 2337
13	111865136	36128	226903	LINC00354	long intergenic non-protein coding RNA 354
13	112052078	60	200072	AL138691.1	
13	112056845	51170	224243	SOX1-OT	SOX1 overlapping transcript
13	112067149	4557	182968	SOX1	SRY-box transcription factor 1
13	112083549	1922	260385	AL356961.1	novel transcript
13	112106095	787	229520	LINC00404	long intergenic non-protein coding RNA 404
13	112197350	3650	260102	LINC01070	long intergenic non-protein coding RNA 1070
13	112313467	8291	260343	LINC01043	long intergenic non-protein coding RNA 1043
13	112322567	8658	223626	LINC01044	long intergenic non-protein coding RNA 1044
13	112376355	58334	153498	SPACA7	sperm acrosome associated 7
13	112485011	103194	126216	TUBGCP3	tubulin gamma complex associated protein 3
13	112602828	3589	277159	AL139384.2	novel transcript
13	112647044	37453	197595	ATP11AUN	ATP11A upstream neighbor
13	112686769	3046	274922	AL139384.1	novel transcript
13	112690329	196839	68650	ATP11A	ATPase phospholipid transporting 11A
13	112745449	9244	232684	ATP11A-AS1	ATP11A antisense RNA 1
13	112811566	592	277545	AL356752.1	novel transcript%2C sense intronic to ATP11A
13	112894378	205364	126217	MCF2L	MCF.2 cell line derived transforming sequence like
13	112964835	1296	267868	AL356740.1	novel transcript
13	112967484	1340	235280	MCF2L-AS1	MCF2L antisense RNA 1
13	113008778	646	269356	AL356740.2	novel transcript
13	113009671	648	269376	AL356740.3	novel transcript
13	113105788	14897	57593	F7	coagulation factor VII
13	113122799	26730	126218	F10	coagulation factor X
13	113128155	725	231882	F10-AS1	F10 antisense RNA 1
13	113149432	4570	283828	AL137002.2	WAS/WASL-interacting protein family member 2-like
13	113158648	13738	126231	PROZ	protein Z%2C vitamin K dependent plasma glycoprotein
13	113165002	181	269125	AL137002.1	novel transcript%2C antisense to PROZ
13	113177536	31179	126226	PCID2	PCI domain containing 2
13	113208193	58915	139842	CUL4A	cullin 4A
13	113262920	79	277942	MIR8075	microRNA 8075
13	113297239	26433	185896	LAMP1	lysosomal associated membrane protein 1
13	113324163	39985	139835	GRTP1	growth hormone regulated TBC protein 1
13	113339450	508	276434	AL136221.1	novel transcript%2C sense intronic to GRTP1
13	113351645	10223	225083	GRTP1-AS1	GRTP1 antisense RNA 1
13	113399610	53914	153531	ADPRHL1	ADP-ribosylhydrolase like 1
13	113455819	35132	150401	DCUN1D2	defective in cullin neddylation 1 domain containing 2
13	113468901	7234	233613	DCUN1D2-AS	DCUN1D2 antisense RNA
13	113478915	163	202347	RNU1-16P	RNA%2C U1 small nuclear 16%2C pseudogene
13	113491021	63569	150403	TMCO3	transmembrane and coiled-coil domains 3
13	113511747	2726	276916	AL442125.2	novel transcript%2C sense intronic
13	113527260	3361	276248	AL442125.1	novel transcript%2C sense intronic to TMCO3
13	113584721	56752	198176	TFDP1	transcription factor Dp-1
13	113648804	9394	186009	ATP4B	ATPase H+/K+ transporting subunit beta
13	113667219	70517	185974	GRK1	G protein-coupled receptor kinase 1
13	113748511	2578	279770	LINC00552	long intergenic non-protein coding RNA 552
13	113759226	57769	184497	TMEM255B	transmembrane protein 255B
13	113815630	30114	233695	GAS6-AS1	GAS6 antisense RNA 1
13	113820549	43527	183087	GAS6	growth arrest specific 6
13	113864112	2722	272695	GAS6-DT	GAS6 divergent transcript
13	113877608	1768	237699	BX072579.1	novel transcript
13	113878489	5162	226921	LINC00454	long intergenic non-protein coding RNA 454
13	113883667	3482	274766	BX072579.2	long intergenic non-protein coding RNA 453
13	113888306	35206	229373	LINC00452	long intergenic non-protein coding RNA 452
13	113923052	5939	260910	LINC00565	long intergenic non-protein coding RNA 565
13	113953705	20371	283199	C13orf46	chromosome 13 open reading frame 46
13	113977783	154840	185989	RASA3	RAS p21 protein activator 3
13	114107569	1251	232487	RASA3-IT1	RASA3 intronic transcript 1
13	114154691	68393	283361	CFAP97D2	CFAP97 domain containing 2
13	114175485	40350	283347	AL160396.1	novel transcript%2C antisense to novel protein
13	114234887	37836	130177	CDC16	cell division cycle 16
13	114244505	56	264539	MIR548AR	microRNA 548ar
13	114273828	80	265450	MIR4502	microRNA 4502
13	114275326	1997	285672	AL160396.2	novel transcript
13	114281601	24216	169062	UPF3A	UPF3A regulator of nonsense mediated mRNA decay
13	114314482	23144	198824	CHAMP1	chromosome alignment maintaining phosphoprotein 1
13	114329559	4389	229723	LINC01054	long intergenic non-protein coding RNA 1054
14	16057472	150	283274	5_8S_rRNA	5.8S ribosomal RNA
14	18343038	106	206906	RNU6-458P	RNA%2C U6 small nuclear 458%2C pseudogene
14	18555677	40633	257959	CR383656.10	novel transcript%2C antisense to OR11H12
14	18601045	1084	257115	OR11H12	olfactory receptor family 11 subfamily H member 12
14	18630318	3316	257504	LINC02297	long intergenic non-protein coding RNA 2297
14	18636043	1378	258364	CR383656.12	novel transcript
14	18920109	13969	257891	AL929601.1	novel transcript
14	18944199	940	258265	AL929601.2	novel transcript
14	18967434	36318	222036	POTEM	POTE ankyrin domain family member M
14	18977180	3562	275563	AL929601.3	novel transcript%2C antisense to POTEG
14	18978847	106	212612	RNU6-1239P	RNA%2C U6 small nuclear 1239%2C pseudogene
14	19024090	31461	258314	AL589182.1	novel transcript
14	19124807	50723	277128	AL589743.3	novel transcript
14	19244962	2711	257310	AL589743.1	novel transcript
14	19344578	40009	274827	LINC01297	long intergenic non-protein coding RNA 1297
14	19402486	31855	187537	POTEG	POTE ankyrin domain family member G
14	19420975	4042	276888	AL512624.2	novel transcript%2C antisense to POTEM
14	19422815	106	212516	RNU6-1268P	RNA%2C U6 small nuclear 1268%2C pseudogene
14	19499737	178186	273639	AL512310.11	novel transcript
14	19637225	4081	273558	AL512310.10	novel transcript
14	19677644	1372	259069	AL512310.9	novel transcript
14	19681420	3319	257395	AL512310.2	novel transcript
14	19712904	1428	258453	OR11H2	olfactory receptor family 11 subfamily H member 2
14	19719015	111238	176294	OR4N2	olfactory receptor family 4 subfamily N member 2
14	19743571	5898	182652	OR4Q3	olfactory receptor family 4 subfamily Q member 3
14	19773504	10192	176299	OR4M1	olfactory receptor family 4 subfamily M member 1
14	19868197	946	176290	OR4K3	olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)
14	19875142	8790	165762	OR4K2	olfactory receptor family 4 subfamily K member 2
14	19920582	1077	176281	OR4K5	olfactory receptor family 4 subfamily K member 5
14	19930917	5840	155249	OR4K1	olfactory receptor family 4 subfamily K member 1
14	19975444	1215	169488	OR4K15	olfactory receptor family 4 subfamily K member 15
14	19999913	4847	196383	OR4Q2	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)
14	20014143	5164	169484	OR4K14	olfactory receptor family 4 subfamily K member 14
14	20029399	6639	176253	OR4K13	olfactory receptor family 4 subfamily K member 13
14	20060045	938	176246	OR4L1	olfactory receptor family 4 subfamily L member 1
14	20110739	11460	176230	OR4K17	olfactory receptor family 4 subfamily K member 17
14	20138820	6651	184394	OR4N5	olfactory receptor family 4 subfamily N member 5
14	20190894	10181	196832	OR11G2	olfactory receptor family 11 subfamily G member 2
14	20223710	992	176219	OR11H6	olfactory receptor family 11 subfamily H member 6
14	20229402	944	258806	OR11H7	olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)
14	20239286	5063	176198	OR11H4	olfactory receptor family 11 subfamily H member 4
14	20256558	49402	136319	TTC5	tetratricopeptide repeat domain 5
14	20260480	3828	258768	AL356019.2	novel transcript
14	20305730	1081	258459	AL356019.1	novel transcript%2C antisense to CCNB1IP1
14	20311368	21944	100814	CCNB1IP1	cyclin B1 interacting protein 1
14	20317949	1758	287735	AL355075.6	novel transcript%2C antisense to CCNB1IP1
14	20323179	147	222489	SNORA79B	small nucleolar RNA%2C H/ACA box 79B
14	20326450	76	238344	SNORD126	small nucleolar RNA%2C C/D box 126
14	20343048	637	259001	AL355075.4	ribonuclease P RNA component H1
14	20343075	332	277209	RPPH1	ribonuclease P RNA component H1
14	20343615	14289	129484	PARP2	poly(ADP-ribose) polymerase 2
14	20344233	2655	254846	AL355075.1	novel transcript
14	20365667	47834	129566	TEP1	telomerase associated protein 1
14	20425852	10314	185271	KLHL33	kelch like family member 33
14	20446401	8688	92094	OSGEP	O-sialoglycoprotein endopeptidase
14	20451305	613	258515	AL355075.2	novel transcript%2C antisense to OSGEP
14	20455191	2581	100823	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
14	20457681	3784	165782	PIP4P1	phosphatidylinositol-4%2C5-bisphosphate 4-phosphatase 1
14	20468954	8135	198805	PNP	purine nucleoside phosphorylase
14	20474789	2300	258908	AL355075.3	novel transcript
14	20505537	5632	182545	RNASE10	ribonuclease A family member 10 (inactive)
14	20556093	4838	188655	RNASE9	ribonuclease A family member 9 (inactive)
14	20582892	26903	259060	AL163195.3	novel protein
14	20583559	26325	173464	RNASE11	ribonuclease A family member 11 (inactive)
14	20587644	19577	258573	AL163195.2	novel transcript%2C antisense to RNASE11 %26 RNASE12
14	20590193	630	258436	RNASE12	ribonuclease A family member 12 (inactive)
14	20640696	995	181803	OR6S1	olfactory receptor family 6 subfamily S member 1
14	20679411	101	199461	Y_RNA	Y RNA
14	20684177	14794	214274	ANG	angiogenin
14	20684560	16656	258818	RNASE4	ribonuclease A family member 4
14	20684587	15989	259171	AL163636.1	novel protein%2C ANG-RNASE4 readthrough
14	20693480	13640	258451	EGILA	EGFR interacting lncRNA
14	20745887	2493	181562	EDDM3A	epididymal protein 3A
14	20768404	2544	181552	EDDM3B	epididymal protein 3B
14	20781268	1199	169413	RNASE6	ribonuclease A family member k6
14	20783888	405	258810	AL133371.2	novel transcript%2C antisense to RNASE1
14	20801228	1627	129538	RNASE1	ribonuclease A family member 1%2C pancreatic
14	20870278	3570	259130	AL133371.3	novel transcript
14	20874305	1463	258642	AL133371.1	novel transcript%2C antisense to RNASE3
14	20891399	949	169397	RNASE3	ribonuclease A family member 3
14	20897985	38270	258918	AL355922.4	novel transcript
14	20916766	11814	258772	AL355922.3	novel transcript
14	20919361	938	136315	AL355922.1	novel transcript
14	20955487	949	169385	RNASE2	ribonuclease A family member 2
14	20963579	288	243817	RN7SL189P	RNA%2C 7SL%2C cytoplasmic 189%2C pseudogene
14	20989973	7062	165792	METTL17	methyltransferase like 17
14	20995837	18985	258471	AL161668.3	novel transcript%2C antisense to SLC39A2
14	20999255	2616	165794	SLC39A2	solute carrier family 39 member 2
14	21016763	54109	165795	NDRG2	NDRG family member 2
14	21023314	72	284122	MIR6717	microRNA 6717
14	21024109	12167	179636	TPPP2	tubulin polymerization promoting protein family member 2
14	21024172	5099	258604	AL161668.4	novel transcript
14	21032818	1077	255472	AL161668.2	novel transcript%2C antisense to RNASE13
14	21032818	1989	206150	RNASE13	ribonuclease A family member 13 (inactive)
14	21042316	1918	165799	RNASE7	ribonuclease A family member 7
14	21057822	633	173431	RNASE8	ribonuclease A family member 8
14	21070273	19975	165801	ARHGEF40	Rho guanine nucleotide exchange factor 40
14	21090077	14645	165804	ZNF219	zinc finger protein 219
14	21098811	4913	232070	TMEM253	transmembrane protein 253
14	21108043	8660	178107	AL161668.1	novel transcript
14	21113639	106	200102	RNU6-252P	RNA%2C U6 small nuclear 252%2C pseudogene
14	21148370	10690	169327	OR5AU1	olfactory receptor family 5 subfamily AU member 1
14	21200079	6821	258441	LINC00641	long intergenic non-protein coding RNA 641
14	21209136	60358	92199	HNRNPC	heterogeneous nuclear ribonucleoprotein C
14	21287939	63362	92200	RPGRIP1	RPGR interacting protein 1
14	21351476	32543	92201	SUPT16H	SPT16 homolog%2C facilitates chromatin remodeling subunit
14	21384292	628	260830	AL135744.1	novel transcript%2C antisense to CHD8 and SUPT16H
14	21385194	70932	100888	CHD8	chromodomain helicase DNA binding protein 8
14	21392150	103	199436	SNORD9	small nucleolar RNA%2C C/D box 9
14	21397292	109	200785	SNORD8	small nucleolar RNA%2C C/D box 8
14	21429508	298	274475	RN7SL650P	RNA%2C 7SL%2C cytoplasmic 650%2C pseudogene
14	21459020	17940	129472	RAB2B	RAB2B%2C member RAS oncogene family
14	21476597	22578	92203	TOX4	TOX high mobility group box family member 4
14	21498133	13209	165819	METTL3	methyltransferase like 3
14	21521080	16136	165821	SALL2	spalt like transcription factor 2
14	21521083	1577	257096	AL161747.2	novel transcript
14	21568520	11556	169208	OR10G3	olfactory receptor family 10 subfamily G member 3
14	21621838	729	255569	TRAV1-1	T cell receptor alpha variable 1-1
14	21633836	1104	255582	OR10G2	olfactory receptor family 10 subfamily G member 2
14	21642889	689	256553	TRAV1-2	T cell receptor alpha variable 1-2
14	21653835	13807	221977	OR4E2	olfactory receptor family 4 subfamily E member 2
14	21667940	5878	276240	OR4E1	olfactory receptor family 4 subfamily E member 1
14	21712321	522	211776	TRAV2	T cell receptor alpha variable 2
14	21714795	1467	248358	AC243972.1	novel transcript
14	21723713	608	211777	TRAV3	T cell receptor alpha variable 3
14	21736152	830	211778	TRAV4	T cell receptor alpha variable 4
14	21749178	527	211779	TRAV5	T cell receptor alpha variable 5
14	21768489	591	211780	TRAV6	T cell receptor alpha variable 6
14	21782993	510	211781	TRAV7	T cell receptor alpha variable 7
14	21797287	599	211782	TRAV8-1	T cell receptor alpha variable 8-1
14	21811502	475	211783	TRAV9-1	T cell receptor alpha variable 9-1
14	21825472	603	211784	TRAV10	T cell receptor alpha variable 10
14	21841240	534	211785	TRAV12-1	T cell receptor alpha variable 12-1
14	21846537	684	211786	TRAV8-2	T cell receptor alpha variable 8-2
14	21852558	448	211787	TRAV8-3	T cell receptor alpha variable 8-3
14	21868839	526	211788	TRAV13-1	T cell receptor alpha variable 13-1
14	21887857	645	211789	TRAV12-2	T cell receptor alpha variable 12-2
14	21894433	597	211790	TRAV8-4	T cell receptor alpha variable 8-4
14	21918188	568	211791	TRAV13-2	T cell receptor alpha variable 13-2
14	21924063	588	211792	TRAV14DV4	T cell receptor alpha variable 14/delta variable 4
14	21941128	529	211793	TRAV9-2	T cell receptor alpha variable 9-2
14	21965451	610	211794	TRAV12-3	T cell receptor alpha variable 12-3
14	21978459	661	211795	TRAV8-6	T cell receptor alpha variable 8-6
14	21990496	442	211796	TRAV16	T cell receptor alpha variable 16
14	21997539	629	211797	TRAV17	T cell receptor alpha variable 17
14	22003106	567	211798	TRAV18	T cell receptor alpha variable 18
14	22007512	669	211799	TRAV19	T cell receptor alpha variable 19
14	22040594	559	211800	TRAV20	T cell receptor alpha variable 20
14	22052514	542	211801	TRAV21	T cell receptor alpha variable 21
14	22070557	651	211802	TRAV22	T cell receptor alpha variable 22
14	22086407	554	211803	TRAV23DV6	T cell receptor alpha variable 23/delta variable 6
14	22096032	587	211804	TRDV1	T cell receptor delta variable 1
14	22105343	503	211805	TRAV24	T cell receptor alpha variable 24
14	22112347	684	211806	TRAV25	T cell receptor alpha variable 25
14	22123318	967	211807	TRAV26-1	T cell receptor alpha variable 26-1
14	22132553	481	211808	TRAV8-7	T cell receptor alpha variable 8-7 (pseudogene)
14	22147995	638	211809	TRAV27	T cell receptor alpha variable 27
14	22163238	632	211810	TRAV29DV5	T cell receptor alpha variable 29/delta variable 5
14	22168429	559	259092	TRAV30	T cell receptor alpha variable 30
14	22197446	285513	251002	AC244502.1	novel transcript%2C antisense to IG_gene_cluster
14	22202583	785	211812	TRAV26-2	T cell receptor alpha variable 26-2
14	22207522	607	211813	TRAV34	T cell receptor alpha variable 34
14	22226746	508	211815	TRAV36DV7	T cell receptor alpha variable 36/delta variable 7
14	22271968	595	211816	TRAV38-1	T cell receptor alpha variable 38-1
14	22281105	643	211817	TRAV38-2DV8	T cell receptor alpha variable 38-2/delta variable 8
14	22304054	499	211818	TRAV39	T cell receptor alpha variable 39
14	22314490	429	211819	TRAV40	T cell receptor alpha variable 40
14	22320188	503	211820	TRAV41	T cell receptor alpha variable 41
14	22415362	3295	259042	AC244502.3	novel transcript
14	22422371	671	211821	TRDV2	T cell receptor delta variable 2
14	22438547	7	223997	TRDD1	T cell receptor delta diversity 1
14	22439007	8	237235	TRDD2	T cell receptor delta diversity 2
14	22449113	12	228985	TRDD3	T cell receptor delta diversity 3
14	22450089	50	211825	TRDJ1	T cell receptor delta joining 1
14	22455249	47	211826	TRDJ4	T cell receptor delta joining 4
14	22456689	53	211827	TRDJ2	T cell receptor delta joining 2
14	22459098	58	211828	TRDJ3	T cell receptor delta joining 3
14	22462932	2855	211829	TRDC	T cell receptor delta constant
14	22469041	657	256590	TRDV3	T cell receptor delta variable 3
14	22475316	59	211831	TRAJ61	T cell receptor alpha joining 61 (non-functional)
14	22476553	53	211832	TRAJ59	T cell receptor alpha joining 59 (non-functional)
14	22477707	62	211833	TRAJ58	T cell receptor alpha joining 58 (non-functional)
14	22478872	62	211834	TRAJ57	T cell receptor alpha joining 57
14	22479521	61	211835	TRAJ56	T cell receptor alpha joining 56
14	22482287	59	211836	TRAJ54	T cell receptor alpha joining 54
14	22483004	65	211837	TRAJ53	T cell receptor alpha joining 53
14	22486228	68	211838	TRAJ52	T cell receptor alpha joining 52
14	22488593	59	211839	TRAJ50	T cell receptor alpha joining 50
14	22489488	55	211840	TRAJ49	T cell receptor alpha joining 49
14	22490491	62	211841	TRAJ48	T cell receptor alpha joining 48
14	22492851	56	211842	TRAJ47	T cell receptor alpha joining 47
14	22493403	62	211843	TRAJ46	T cell receptor alpha joining 46
14	22493925	65	211844	TRAJ45	T cell receptor alpha joining 45
14	22494821	62	211845	TRAJ44	T cell receptor alpha joining 44
14	22495913	53	211846	TRAJ43	T cell receptor alpha joining 43
14	22496887	65	211847	TRAJ42	T cell receptor alpha joining 42
